user_id,group,convert
12551,treatment,0
12458,control,0
19942,control,0
19008,treatment,0
11343,control,0
10953,treatment,0
45930,treatment,0
38359,treatment,0
30284,control,0
24409,control,0
2212,control,0
10561,treatment,0
13849,control,0
32716,control,1
23814,control,0
17967,control,0
34081,treatment,0
253,control,0
6985,control,0
43673,control,0
7849,control,1
5847,treatment,0
45928,control,0
29303,control,0
49635,treatment,0
9734,control,0
40423,treatment,1
34853,treatment,0
40507,control,0
19170,treatment,1
16235,control,0
22201,control,0
26083,treatment,0
43397,control,1
41367,treatment,0
4418,control,0
14395,treatment,0
29042,control,0
7921,control,0
36370,treatment,0
15656,treatment,0
12606,control,0
17248,control,0
22817,control,0
36584,control,0
18376,treatment,1
28854,treatment,0
24519,treatment,0
34332,control,0
22718,control,0
7803,control,0
34401,control,1
18129,control,0
25520,control,0
33906,treatment,0
34065,control,0
41827,control,0
34981,treatment,0
48,treatment,0
2348,control,0
38436,control,0
45131,control,0
11926,control,0
34791,control,0
32533,treatment,1
44532,treatment,0
30623,treatment,0
43847,treatment,0
30251,control,0
6897,control,0
5367,control,0
37781,treatment,0
29711,control,0
24249,treatment,0
27437,treatment,0
47279,treatment,0
35886,control,0
7718,control,0
34094,treatment,0
13609,treatment,1
24882,treatment,0
8721,control,0
6385,treatment,0
42080,control,0
2328,control,0
19657,control,0
9797,control,0
39733,control,1
40011,treatment,0
15147,control,0
36113,control,0
13022,treatment,0
39645,treatment,0
49129,control,0
7438,treatment,1
42904,treatment,0
17294,treatment,0
40747,control,0
44685,control,0
18545,control,0
32059,control,0
44097,treatment,0
3931,control,0
19676,control,0
8092,treatment,1
19890,control,0
33992,control,0
32269,control,0
30662,treatment,0
43140,treatment,1
24735,control,1
27604,control,0
36645,control,1
45659,treatment,1
28845,treatment,1
41804,treatment,0
12124,control,0
36172,treatment,0
41417,control,0
31968,control,0
607,treatment,0
48103,treatment,0
31547,treatment,0
13807,treatment,0
13762,control,0
25981,control,0
33241,control,0
33780,treatment,0
28572,control,0
11160,treatment,0
40875,control,0
47048,treatment,0
19404,control,0
38019,treatment,0
39271,treatment,0
9109,control,0
31378,treatment,0
30520,treatment,1
18898,control,0
39095,treatment,0
38606,control,1
10009,control,0
21933,control,1
10028,treatment,0
30135,treatment,1
33817,control,0
9256,control,1
5168,treatment,1
19222,treatment,0
13936,treatment,0
47812,treatment,1
9522,control,0
4953,control,0
15087,treatment,0
31651,control,0
26453,control,0
46136,treatment,0
37837,control,1
6767,treatment,0
31223,control,0
3132,treatment,0
20179,control,0
49123,control,0
40222,treatment,0
38958,treatment,0
20856,control,0
38585,treatment,0
35970,control,0
25633,control,0
9617,treatment,1
38809,treatment,0
44610,control,1
46271,treatment,1
36708,control,0
36677,control,0
23850,treatment,1
28533,control,0
42395,control,0
10364,treatment,1
49005,treatment,0
42387,treatment,0
13129,control,1
26922,treatment,0
37419,treatment,1
44981,control,0
1015,control,0
7373,control,0
6270,control,0
32104,control,0
34946,control,0
42663,control,0
38047,control,0
29002,treatment,0
25390,control,0
49624,treatment,0
26147,treatment,0
12653,treatment,0
40748,control,0
4780,treatment,0
7312,control,0
22070,treatment,0
1261,control,0
29304,treatment,0
11284,treatment,0
28056,treatment,0
44059,control,0
23141,treatment,0
17352,control,0
41951,treatment,1
35208,control,1
6496,control,0
28680,treatment,0
26947,treatment,0
4099,treatment,0
7954,control,0
49980,control,0
9323,control,0
14533,control,0
45169,control,0
3864,treatment,0
8162,control,0
43949,treatment,0
23071,control,1
15058,control,1
38841,control,1
29107,treatment,0
4917,control,0
4310,treatment,0
13470,control,0
29870,treatment,0
2646,control,0
16486,treatment,0
993,treatment,0
34264,treatment,0
49469,control,0
2184,treatment,0
17298,treatment,0
10963,treatment,0
32899,control,0
3236,treatment,0
3971,control,0
27055,treatment,0
38884,control,1
42840,treatment,0
45688,treatment,1
41601,treatment,0
14603,treatment,0
26997,control,0
37587,control,1
18472,control,0
8995,treatment,0
30667,treatment,1
19720,control,0
39873,control,0
24129,control,0
45857,control,0
38607,treatment,1
45147,control,0
27735,treatment,0
27465,control,0
20093,treatment,0
16976,control,0
43462,treatment,0
36924,treatment,0
254,treatment,0
28229,control,0
45377,treatment,0
26681,control,0
31338,treatment,0
3274,treatment,0
21657,control,0
32827,control,1
9926,control,0
49202,treatment,1
30144,control,0
41261,control,0
20064,control,0
4905,treatment,0
27029,control,0
22303,treatment,0
2136,control,0
41053,control,1
19110,treatment,0
33846,treatment,0
45162,control,0
46401,treatment,0
35557,control,0
8613,treatment,1
25566,control,0
23727,treatment,0
3813,control,0
378,control,0
8570,treatment,1
41524,control,0
24139,control,0
19666,treatment,0
15999,treatment,0
20399,control,0
20570,treatment,0
44791,treatment,1
19150,treatment,0
48300,treatment,0
9211,treatment,1
32685,control,0
4128,treatment,0
16622,control,0
43697,treatment,0
3748,treatment,1
39883,control,0
5949,treatment,1
24305,treatment,0
46837,control,0
37992,treatment,0
22192,treatment,1
10950,control,0
41677,treatment,0
27605,treatment,0
13441,control,0
37403,control,0
2498,control,0
34153,treatment,0
34690,treatment,0
17635,treatment,1
5944,control,0
31553,control,0
38678,treatment,0
1292,control,1
33772,control,0
29234,control,0
34463,control,0
34733,treatment,0
8075,treatment,1
12790,control,0
48977,control,0
48685,treatment,0
21639,control,0
47204,control,0
11761,treatment,0
2587,treatment,0
31508,control,0
18920,treatment,0
46611,treatment,1
7505,treatment,0
33516,control,0
17390,control,0
4699,treatment,0
632,control,0
11501,treatment,0
14486,control,0
36793,control,0
27049,treatment,1
19482,control,0
443,control,0
7577,control,0
34286,control,0
45263,treatment,1
14762,control,0
29409,treatment,1
48852,treatment,0
47073,control,0
45458,control,0
30358,treatment,0
15470,treatment,0
30717,treatment,0
10602,control,0
5464,treatment,0
43168,treatment,0
13398,control,0
12770,treatment,0
37366,control,0
2414,treatment,0
19840,control,0
22656,control,0
40707,control,0
11615,control,0
37686,control,0
10152,control,0
20112,control,0
46332,treatment,0
27707,control,0
3013,treatment,0
48790,control,0
40900,control,0
40178,control,0
25180,control,0
41910,treatment,1
8259,treatment,0
13848,control,0
17726,treatment,0
33000,control,0
29798,treatment,1
42883,treatment,0
36378,control,0
27769,control,0
49560,control,0
30456,treatment,0
15717,treatment,0
2115,treatment,0
19352,control,0
47882,treatment,1
9596,treatment,0
22984,control,0
27124,treatment,0
3887,control,0
34697,control,0
45433,treatment,0
45798,treatment,0
38717,treatment,0
18396,control,0
26562,control,0
6244,treatment,0
28272,control,0
13908,treatment,0
35002,control,0
40753,treatment,0
37301,treatment,0
21983,control,0
23902,control,0
22968,treatment,0
28588,control,0
18460,treatment,0
22569,control,0
8939,control,1
10958,control,0
11321,control,0
14941,control,0
42401,treatment,0
37873,treatment,1
46523,treatment,0
28068,treatment,0
23883,treatment,0
38591,control,0
33625,control,0
44218,treatment,0
37919,treatment,0
13426,control,0
20448,control,0
39794,treatment,0
31325,control,1
22209,treatment,0
43934,control,1
998,treatment,0
26063,control,0
13699,treatment,0
11977,control,0
18789,treatment,0
32360,control,0
42312,control,1
901,control,1
42777,treatment,0
35222,control,0
5975,treatment,0
26177,treatment,1
44230,treatment,0
48214,control,0
8730,control,0
45132,treatment,0
27457,control,0
35781,control,0
1796,control,0
21703,control,0
24093,treatment,1
2054,treatment,0
40095,control,0
29581,control,0
12028,control,0
39641,treatment,0
32124,control,0
36296,control,0
28285,treatment,0
4320,treatment,0
8149,treatment,0
37722,control,0
8520,treatment,0
25672,control,0
3765,treatment,0
12985,control,0
12934,control,0
36523,control,0
45527,control,0
47805,control,1
1764,control,0
19781,treatment,0
23001,control,1
49951,control,0
10671,treatment,0
34860,treatment,1
31321,control,0
15457,control,0
43242,treatment,0
3262,control,0
13926,control,1
36427,control,0
28255,treatment,0
44407,treatment,0
21190,control,0
48720,treatment,0
21699,treatment,0
32887,control,0
5796,treatment,0
5200,treatment,0
16571,treatment,0
24348,treatment,1
2046,control,0
44572,control,0
14633,control,0
29440,control,0
27800,treatment,0
10579,treatment,0
48485,control,0
2081,control,0
6877,control,0
11359,treatment,0
47098,treatment,1
11873,treatment,0
36844,treatment,0
35396,treatment,0
44307,treatment,0
49116,control,0
30468,treatment,0
23434,treatment,0
42086,control,1
34374,control,0
15026,treatment,0
26873,control,1
30213,treatment,0
2698,treatment,1
35653,treatment,0
23581,control,0
41309,treatment,0
5196,treatment,0
15283,control,0
13749,treatment,0
330,treatment,1
32464,control,0
26344,treatment,1
43591,control,0
38614,treatment,0
1168,treatment,0
37642,control,0
14243,control,0
4392,control,0
46107,control,0
7415,treatment,0
5396,control,0
48553,control,0
11715,treatment,0
6684,control,0
27501,control,0
39014,treatment,0
25584,treatment,1
32212,control,0
9132,control,1
46129,control,0
49453,control,1
45712,control,0
15581,treatment,1
30885,treatment,0
11422,treatment,1
14780,control,0
41891,control,0
23587,control,1
13986,control,0
5867,control,1
35892,treatment,0
9927,control,0
46461,treatment,0
36649,treatment,0
287,control,0
42365,treatment,0
23723,treatment,0
26002,treatment,1
23520,treatment,0
17750,treatment,0
47315,treatment,1
11804,treatment,0
33185,control,0
37746,treatment,0
2155,treatment,0
8088,control,0
349,control,0
12068,control,0
42111,treatment,0
2499,control,0
42475,treatment,0
44157,treatment,0
36028,control,0
6273,treatment,0
7079,treatment,0
34041,treatment,0
12429,control,0
28000,treatment,0
29587,control,0
43048,control,0
29785,control,0
30723,treatment,0
39196,treatment,0
42641,control,0
7222,control,0
8174,control,0
2436,treatment,0
30564,treatment,0
35992,treatment,0
5429,treatment,0
49880,treatment,0
16097,treatment,0
12183,control,0
1070,treatment,1
7690,control,0
8366,control,0
29951,treatment,0
15157,treatment,0
41412,treatment,0
12932,control,0
43627,treatment,0
22358,control,0
43165,treatment,0
42513,control,0
45640,treatment,1
9005,treatment,1
1438,treatment,0
3461,treatment,1
45275,control,0
47235,treatment,1
46405,treatment,1
25953,treatment,0
40439,control,0
19909,control,0
19580,treatment,1
27666,treatment,0
36312,control,0
12890,treatment,0
32920,control,0
12709,treatment,0
15689,treatment,1
38522,treatment,0
4336,treatment,0
40785,treatment,1
8258,control,0
15248,control,0
14957,control,0
29977,control,0
34532,control,0
26220,treatment,0
22116,control,1
4806,treatment,0
46679,control,0
18120,control,1
34106,treatment,0
32929,treatment,0
5509,treatment,0
36450,control,0
48233,treatment,0
22025,treatment,0
18792,control,0
47824,treatment,0
18674,treatment,0
41800,control,1
2670,treatment,1
14772,treatment,1
15293,treatment,0
37886,control,0
12761,control,0
43330,treatment,0
26938,control,0
33942,treatment,0
29496,control,0
74,control,0
38186,control,0
33183,control,0
630,treatment,1
30018,control,0
893,treatment,1
13745,treatment,1
3809,treatment,1
25453,treatment,0
10052,control,0
8828,treatment,0
42591,control,0
39885,treatment,0
24626,treatment,1
20561,control,0
17227,control,0
20194,treatment,0
13620,control,0
41252,treatment,0
28602,treatment,0
38811,control,0
22835,treatment,1
44473,treatment,0
39991,treatment,0
39673,treatment,0
48258,treatment,0
10059,treatment,0
14554,control,0
33977,control,0
11345,treatment,0
27512,treatment,0
28038,treatment,1
39048,treatment,1
8048,control,0
39259,control,0
28033,control,1
1077,control,1
44956,treatment,0
8209,treatment,0
23631,treatment,0
43867,control,0
43179,treatment,0
30420,control,0
41470,treatment,0
46202,treatment,0
47414,treatment,1
40112,treatment,1
21562,control,0
7600,treatment,0
5136,treatment,0
24031,control,0
29982,treatment,0
49383,control,0
39860,treatment,0
48141,control,1
3532,control,0
10138,treatment,0
11678,control,0
18308,control,0
10415,treatment,0
17981,control,0
3141,control,0
12315,treatment,0
49949,control,0
23270,control,0
11608,control,1
3026,control,0
26752,control,0
15991,control,0
18065,treatment,0
45900,control,1
15713,control,0
12144,control,0
40298,control,0
9400,treatment,0
23258,treatment,0
41075,control,0
40257,treatment,0
24098,treatment,0
29825,treatment,0
38981,control,0
49002,treatment,1
14475,treatment,0
31535,treatment,0
44031,treatment,1
46307,control,0
46484,control,0
35194,control,0
10743,control,0
2413,treatment,0
15228,treatment,1
8026,treatment,0
38371,control,1
22824,control,0
14968,control,0
24835,treatment,0
39146,treatment,0
47756,treatment,0
38672,control,0
37662,control,0
41777,control,0
29288,control,0
49004,treatment,1
12093,treatment,0
46781,control,0
46463,control,0
36289,treatment,1
18501,control,0
38203,treatment,1
29153,treatment,1
39137,control,0
27837,treatment,0
1308,control,0
6942,treatment,0
27518,treatment,0
42644,treatment,0
44226,treatment,0
1224,treatment,0
2127,treatment,0
29962,treatment,0
46824,treatment,0
8554,treatment,0
46381,treatment,1
17896,treatment,0
20864,treatment,0
23642,treatment,0
26623,treatment,0
42125,control,0
21893,treatment,1
19965,control,0
18203,treatment,0
38149,control,0
31060,treatment,0
21636,control,0
6803,treatment,0
7659,control,0
22154,control,0
2319,treatment,1
40228,control,0
28291,treatment,0
47837,control,1
36616,control,1
25370,treatment,0
32053,treatment,1
43923,treatment,1
28463,treatment,0
4912,control,0
47055,treatment,0
7073,control,0
2062,treatment,0
37161,treatment,0
5472,control,0
975,treatment,0
6719,treatment,0
1333,control,0
26719,control,0
42981,control,0
29195,control,0
18189,treatment,0
8009,control,0
10574,control,0
23126,treatment,1
46739,treatment,0
28396,treatment,0
12840,treatment,1
33776,treatment,0
27622,control,0
33699,treatment,0
48607,control,1
4404,control,0
30919,treatment,1
11651,treatment,1
29450,treatment,0
27569,treatment,1
47081,treatment,0
24880,control,0
34022,treatment,1
30365,treatment,0
18996,control,1
35580,control,1
40813,control,0
27030,control,0
15201,control,0
39386,treatment,0
24048,treatment,0
40246,control,1
48722,control,0
23915,treatment,0
3603,control,0
5578,control,0
9582,treatment,0
572,control,0
1595,control,0
30526,control,0
12824,treatment,0
39409,treatment,1
13077,treatment,1
14408,control,1
41392,control,0
21931,treatment,0
25122,treatment,0
16320,control,0
32280,treatment,0
20977,control,0
21130,treatment,1
27417,treatment,0
27733,control,0
40080,control,1
28144,control,0
26833,treatment,0
23118,treatment,0
45354,control,0
4403,control,1
10832,control,0
43672,control,0
43284,control,0
44722,treatment,0
33999,control,0
9215,control,0
27186,control,1
13204,control,0
29714,control,0
17325,control,0
2881,treatment,0
49982,treatment,0
35717,control,0
25699,control,0
13070,control,1
44024,control,0
11455,control,1
23329,control,0
38556,treatment,0
38933,control,1
34586,control,1
34546,control,1
49270,control,1
17911,control,0
10653,control,0
41451,control,0
773,control,1
14982,treatment,0
13813,treatment,0
34420,control,0
20461,control,0
30596,control,0
12897,treatment,0
35031,control,0
37100,control,0
24028,treatment,0
29639,control,0
3896,treatment,0
11928,treatment,0
17283,treatment,0
9622,control,0
41722,control,0
42008,control,0
15881,treatment,0
30935,control,0
11458,control,1
45690,treatment,0
43347,treatment,1
36260,treatment,0
23317,treatment,0
35201,control,0
24884,control,0
4747,control,0
637,treatment,1
12862,treatment,0
31711,treatment,0
37870,control,0
44296,control,0
24686,control,0
37747,control,0
44921,control,0
49216,treatment,1
3250,treatment,0
3105,control,0
29422,control,0
49341,control,0
48170,treatment,0
3848,treatment,0
24400,treatment,0
47682,treatment,0
18562,control,0
31496,treatment,0
32440,control,0
22588,control,0
27010,control,0
7145,control,0
30279,control,0
28487,treatment,0
31887,treatment,0
39903,treatment,0
28007,control,0
6046,treatment,0
8396,treatment,1
39501,control,0
10217,control,0
49158,treatment,0
34023,treatment,0
48343,treatment,1
29904,control,0
35426,control,0
49937,control,0
1484,treatment,0
3691,control,1
30982,treatment,0
34347,treatment,0
25174,control,0
2118,treatment,0
45193,control,0
28160,treatment,0
46893,treatment,0
27701,control,0
35364,treatment,0
40636,treatment,1
19906,control,0
9704,control,0
38475,control,0
14801,treatment,0
40693,control,0
36827,treatment,0
38336,control,0
46648,treatment,0
33584,treatment,0
33497,control,0
18375,treatment,0
40737,treatment,0
42303,treatment,0
39434,control,1
27615,control,0
42606,control,1
5457,treatment,0
11292,treatment,0
15243,treatment,0
12541,treatment,0
36585,treatment,0
1210,treatment,0
38922,treatment,1
34886,treatment,1
25225,control,0
45982,control,0
9449,treatment,0
3391,treatment,0
31813,treatment,0
12217,control,0
23743,treatment,1
24038,treatment,0
4342,treatment,0
3591,control,0
41246,control,0
21942,control,0
39765,control,0
38919,control,0
45851,treatment,1
12992,control,0
42601,control,0
37013,treatment,1
19512,control,0
12957,treatment,0
31834,treatment,1
29672,treatment,0
41906,treatment,1
37925,treatment,0
12693,control,0
35252,control,0
47168,control,0
45529,treatment,0
24041,control,1
43202,treatment,0
7399,treatment,0
27254,treatment,0
4473,treatment,0
46413,control,1
2370,control,0
44108,control,0
11852,control,0
28106,control,0
20185,control,0
34048,treatment,0
2038,treatment,0
2786,control,0
43307,treatment,1
19151,control,0
23368,control,0
19970,control,0
29287,treatment,0
10399,treatment,0
385,control,0
39942,treatment,0
36769,treatment,0
10501,treatment,0
39729,treatment,0
22451,treatment,1
46215,control,0
48531,treatment,0
30212,control,1
27068,control,1
40733,treatment,1
18863,treatment,0
2437,treatment,0
39351,control,1
48151,treatment,0
489,control,0
180,control,0
3678,control,0
33799,control,0
33862,treatment,0
44957,control,0
37697,control,0
4748,control,0
19782,treatment,0
9718,control,0
36735,treatment,0
25117,control,0
39366,control,0
35890,control,0
14095,treatment,0
26073,treatment,0
41622,control,1
16820,control,0
45542,control,0
5856,control,0
45604,treatment,0
36253,control,0
8343,control,0
23483,treatment,0
2063,treatment,0
11677,control,1
31802,control,0
37794,control,0
42721,treatment,0
30017,treatment,0
45512,treatment,1
32432,control,0
14469,treatment,0
49243,treatment,0
32794,control,0
29302,control,0
36996,treatment,1
33868,treatment,0
4314,treatment,0
18354,control,0
43605,control,0
9408,treatment,1
35949,treatment,0
25421,control,0
17205,treatment,0
46045,treatment,1
21319,control,0
17396,control,0
4433,treatment,0
37329,treatment,0
36374,treatment,0
11570,control,0
15022,treatment,0
46772,treatment,0
34621,control,0
22438,control,0
45879,treatment,1
15156,treatment,0
7822,treatment,0
37902,treatment,0
20121,control,0
40829,treatment,1
31996,control,0
26119,control,0
26314,control,0
13541,treatment,0
43275,control,0
2506,control,1
25489,control,0
15024,treatment,0
45128,control,0
3196,treatment,0
37684,treatment,0
23943,treatment,1
24505,treatment,0
5644,treatment,1
6042,control,1
898,treatment,1
4910,control,0
47318,treatment,0
31518,treatment,1
31340,control,1
6374,treatment,0
33086,control,0
30776,treatment,1
16030,control,0
38421,control,0
49859,treatment,0
7649,control,1
26747,control,0
15097,treatment,0
32605,control,0
6293,treatment,0
19745,control,0
36697,treatment,0
20071,control,0
17793,control,0
24751,treatment,0
16968,control,0
3995,control,0
1616,control,0
27893,control,1
10197,control,0
47291,control,0
21037,treatment,0
38152,control,0
25070,control,0
26775,control,0
3085,control,0
47149,control,0
31473,treatment,1
43103,control,0
23741,treatment,0
16099,treatment,1
4541,control,0
29578,control,0
24832,treatment,0
17082,control,0
36395,treatment,0
39678,treatment,0
21802,treatment,0
15475,control,0
29391,treatment,0
25351,control,0
21540,control,0
43611,control,0
42848,treatment,0
9896,control,0
42390,control,0
31237,treatment,0
41845,control,0
38185,control,0
36285,control,0
24708,treatment,1
15871,treatment,0
46539,control,1
15364,treatment,0
24902,control,0
7653,control,0
35299,treatment,0
20086,treatment,0
10993,control,1
33143,control,0
40305,control,0
14150,control,0
38814,control,0
17439,treatment,0
27248,control,0
2094,control,0
115,treatment,1
5438,treatment,1
31537,treatment,0
40175,treatment,1
11735,control,0
5480,treatment,0
26436,treatment,1
38467,treatment,0
38953,control,0
30622,control,0
45786,treatment,0
15032,treatment,0
6946,treatment,0
6279,treatment,0
3668,treatment,0
12447,control,0
18266,treatment,0
7028,treatment,0
48000,treatment,0
945,treatment,0
1535,treatment,0
13661,treatment,0
26376,treatment,0
47907,treatment,0
24554,treatment,0
32509,treatment,1
1690,treatment,0
25471,control,0
48739,treatment,1
40694,treatment,0
49555,control,0
10430,treatment,0
17401,control,0
13332,treatment,0
26126,control,0
6119,treatment,1
31013,control,0
4263,control,0
2852,control,0
2575,treatment,0
12422,treatment,0
27174,control,0
9693,treatment,0
6581,control,0
19739,control,0
21939,control,0
30618,treatment,0
39278,treatment,0
45346,control,0
48838,control,0
23405,control,0
45123,control,0
48667,treatment,1
24265,treatment,0
13927,treatment,0
1693,control,0
19062,treatment,0
47943,control,1
4990,treatment,0
39382,control,0
29179,control,1
22650,treatment,0
34028,treatment,0
12548,treatment,0
36055,control,0
17995,treatment,0
21271,treatment,0
23138,treatment,0
13335,control,0
16657,control,0
17267,treatment,0
8072,treatment,0
4289,control,1
20001,treatment,0
16925,control,0
28113,control,0
35968,control,0
17698,control,0
49903,treatment,0
10758,control,0
45097,control,1
22112,treatment,0
49256,control,0
32955,treatment,0
24102,treatment,0
36545,treatment,0
47737,control,0
30344,treatment,0
26188,control,0
47227,control,1
49009,control,0
1144,control,0
19797,treatment,1
23630,treatment,1
24004,control,0
22133,treatment,0
22148,control,0
712,treatment,0
